SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
1772611994.895394, 0.197821, -0.116568, -9.806949, -0.001020, 0.008382, 0.002047
1772611994.905497, 0.187646, -0.093524, -9.803657, -0.002778, 0.007285, 0.002566
1772611994.915542, 0.194080, -0.109385, -9.818771, -0.000677, 0.005524, 0.003405
1772611994.925394, 0.186000, -0.103100, -9.826701, -0.000086, 0.004231, 0.002900
1772611994.935546, 0.191087, -0.092476, -9.809493, -0.002681, 0.005242, 0.003937
1772611994.945446, 0.190339, -0.100556, -9.825055, -0.000983, 0.003803, 0.001432
1772611994.955500, 0.190040, -0.096217, -9.796475, -0.001247, 0.005918, 0.002467
1772611994.965443, 0.184054, -0.104297, -9.817723, -0.001111, 0.005099, 0.003262
1772611994.975456, 0.184054, -0.117914, -9.814132, -0.002204, 0.003770, 0.002647
1772611994.985572, 0.186000, -0.108637, -9.811887, -0.000852, 0.007936, 0.001837
1772611994.995551, 0.187346, -0.102801, -9.816376, -0.003222, 0.008938, 0.003614
1772611995.005450, 0.185102, -0.092925, -9.801712, -0.003182, 0.004557, 0.002158
1772611995.015410, 0.176872, -0.113276, -9.827300, -0.001022, 0.006326, 0.000663
1772611995.024592, 0.176872, -0.113276, -9.827300, -0.003249, 0.006407, 0.001695
1772611995.035477, 0.182708, -0.103250, -9.806949, -0.002326, 0.008477, 0.001322
1772611995.045482, 0.172981, -0.095918, -9.800664, -0.001615, 0.005728, 0.003283
1772611995.055496, 0.185401, -0.106243, -9.797522, -0.000519, 0.005676, 0.004701
1772611995.065480, 0.170737, -0.100856, -9.816825, -0.000998, 0.007703, 0.001969
1772611995.074457, 0.170737, -0.100856, -9.816825, 0.000712, 0.004963, 0.004624
1772611995.085399, 0.182109, -0.102502, -9.806351, -0.002441, 0.005078, 0.002197
1772611995.095503, 0.180613, -0.095020, -9.803508, -0.000136, 0.006521, 0.002373
1772611995.105435, 0.180613, -0.095020, -9.803508, -0.002322, 0.006062, 0.002793
1772611995.115419, 0.193182, -0.103699, -9.807099, -0.000284, 0.005645, 0.003470
1772611995.125449, 0.180463, -0.099509, -9.811438, 0.002767, 0.006412, 0.002938
1772611995.135474, 0.192284, -0.102801, -9.803358, 0.001642, 0.005703, 0.001330
1772611995.145037, 0.186598, -0.098312, -9.817574, -0.000966, 0.005147, 0.004522
1772611995.155432, 0.187496, -0.110732, -9.811289, 0.000907, 0.005302, 0.004720
1772611995.165525, 0.183755, -0.108038, -9.803059, -0.003010, 0.007876, 0.000777
1772611995.175607, 0.195127, -0.109684, -9.810840, -0.001896, 0.006520, -0.000146
1772611995.185400, 0.179415, -0.106841, -9.812187, -0.002117, 0.006480, 0.001952
1772611995.195068, 0.208595, -0.087837, -9.815329, -0.001051, 0.008882, 0.001064
1772611995.205478, 0.192434, -0.089932, -9.799916, -0.002021, 0.008630, 0.001031
1772611995.215405, 0.193930, -0.109984, -9.809194, -0.003672, 0.006483, 0.001818
1772611995.224475, 0.189890, -0.099808, -9.809493, -0.001507, 0.005732, 0.002345
1772611995.235408, 0.188244, -0.094421, -9.803657, -0.000538, 0.006672, 0.003117
1772611995.245419, 0.180014, -0.102801, -9.802610, -0.000088, 0.005066, 0.003092
1772611995.255368, 0.180014, -0.115670, -9.798270, -0.004607, 0.003548, 0.005118
1772611995.265408, 0.189142, -0.108637, -9.820117, -0.000309, 0.006535, 0.001844
1772611995.275410, 0.176872, -0.111929, -9.817723, -0.002566, 0.006700, 0.004190
1772611995.285393, 0.182408, -0.091429, -9.811438, -0.000588, 0.007381, 0.000998
1772611995.295408, 0.188843, -0.098611, -9.807697, -0.002259, 0.004901, 0.001544
1772611995.305480, 0.177321, -0.103848, -9.804555, -0.001196, 0.005078, 0.001729
1772611995.315460, 0.187197, -0.098312, -9.816526, 0.000208, 0.004462, 0.002051
1772611995.325402, 0.174926, -0.095918, -9.817274, -0.001761, 0.006623, 0.001166
1772611995.335484, 0.179565, -0.102502, -9.813982, 0.002188, 0.007256, 0.002593
1772611995.345313, 0.179266, -0.107889, -9.808296, 0.001526, 0.004800, 0.002276
1772611995.355463, 0.183755, -0.094122, -9.811438, -0.001500, 0.006734, 0.001947
1772611995.365428, 0.192733, -0.106093, -9.806500, -0.000621, 0.005935, 0.002328
1772611995.375436, 0.175076, -0.112228, -9.803508, 0.004148, 0.005564, 0.002271
