split_seed,train_seed,run_dir,best_epoch,best_val_acc,best_val_f1,test_acc,test_macro_f1,elapsed_sec
42,42,/root/mqx/LSMRT/img-audio-fusion/multi_seed/runs/split42_train42,64,0.8888888888888888,0.9093040293040293,0.9259259259259259,0.9123809523809525,1060.8471262454987
42,43,/root/mqx/LSMRT/img-audio-fusion/multi_seed/runs/split42_train43,52,0.8888888888888888,0.9093040293040293,0.9259259259259259,0.9123809523809525,496.3102262020111
42,44,/root/mqx/LSMRT/img-audio-fusion/multi_seed/runs/split42_train44,68,0.8888888888888888,0.9093040293040293,0.9259259259259259,0.9123809523809525,363.74995946884155
43,42,/root/mqx/LSMRT/img-audio-fusion/multi_seed/runs/split43_train42,13,0.9259259259259259,0.9323809523809523,0.7777777777777778,0.7514285714285714,337.2631552219391
43,43,/root/mqx/LSMRT/img-audio-fusion/multi_seed/runs/split43_train43,13,0.9259259259259259,0.9323809523809523,0.7777777777777778,0.7739194139194139,373.87590289115906
43,44,/root/mqx/LSMRT/img-audio-fusion/multi_seed/runs/split43_train44,10,0.8888888888888888,0.9066666666666666,0.7037037037037037,0.6796336996336997,920.60307264328
44,42,/root/mqx/LSMRT/img-audio-fusion/multi_seed/runs/split44_train42,13,0.8148148148148148,0.8400000000000001,0.8518518518518519,0.849047619047619,1354.1159837245941
44,43,/root/mqx/LSMRT/img-audio-fusion/multi_seed/runs/split44_train43,15,0.8148148148148148,0.8400000000000001,0.8888888888888888,0.8966666666666667,921.0488181114197
44,44,/root/mqx/LSMRT/img-audio-fusion/multi_seed/runs/split44_train44,16,0.8148148148148148,0.8400000000000001,0.9259259259259259,0.9323809523809523,456.7539758682251
45,42,/root/mqx/LSMRT/img-audio-fusion/multi_seed/runs/split45_train42,13,0.9259259259259259,0.9323809523809523,0.8518518518518519,0.8014285714285714,195.3036870956421
45,43,/root/mqx/LSMRT/img-audio-fusion/multi_seed/runs/split45_train43,37,1.0,1.0,0.8518518518518519,0.8014285714285714,4993.780627012253
45,44,/root/mqx/LSMRT/img-audio-fusion/multi_seed/runs/split45_train44,14,0.9259259259259259,0.9323809523809523,0.8518518518518519,0.8014285714285714,194.8916404247284
46,42,/root/mqx/LSMRT/img-audio-fusion/multi_seed/runs/split46_train42,32,0.8888888888888888,0.8933333333333333,1.0,1.0,2017.0018026828766
46,43,/root/mqx/LSMRT/img-audio-fusion/multi_seed/runs/split46_train43,58,0.9259259259259259,0.9113553113553113,1.0,1.0,1923.3669061660767
46,44,/root/mqx/LSMRT/img-audio-fusion/multi_seed/runs/split46_train44,30,0.8888888888888888,0.8933333333333333,1.0,1.0,1828.389894247055
