SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1773750399.633429, , , , , , , , , 
1773750399.643465, , , , , , , , , 
1773750399.653460, 0.114024, -0.107290, -9.796175, -0.002837, 0.018312, 0.003099, 228.867752, -36.235901, 27.614090
1773750399.663167, 0.097863, -0.106542, -9.828946, -0.006988, 0.023084, 0.002092, 229.140274, -36.277481, 27.626160
1773750399.673440, 0.112079, -0.105495, -9.819519, -0.001940, 0.029908, 0.001357, 228.954376, -36.284210, 27.667480
1773750399.683450, 0.121356, -0.104447, -9.807548, -0.001647, 0.026383, 0.001459, 229.142227, -36.349396, 27.622040
1773750399.693435, 0.123750, -0.111181, -9.818172, -0.001209, 0.022250, 0.004249, 229.168030, -36.108566, 27.571121
1773750399.703410, 0.122703, -0.107141, -9.806800, -0.003767, 0.014592, 0.003626, 229.072128, -36.182419, 27.703888
1773750399.713162, 0.121655, -0.111181, -9.809792, -0.000912, 0.015383, 0.001960, 228.962616, -36.253555, 27.557159
1773750399.723540, 0.124798, -0.108637, -9.821763, -0.002296, 0.017028, 0.001464, 228.964691, -36.266037, 27.630524
1773750399.732791, 0.119710, -0.107440, -9.826701, 0.000291, 0.015279, 0.001186, 228.912964, -36.290726, 27.773941
1773750399.743447, 0.123601, -0.106841, -9.823409, -0.003626, 0.013716, 0.002954, 228.841476, -36.282303, 27.730087
1773750399.753466, 0.138564, -0.104148, -9.813234, -0.003013, 0.013840, 0.001760, 228.963593, -36.257172, 27.590744
1773750399.763163, 0.123750, -0.113425, -9.812336, -0.000316, 0.015121, 0.002615, 229.004395, -36.163681, 27.633133
1773750399.773550, 0.127042, -0.122852, -9.820716, -0.001250, 0.012721, 0.002798, 229.231018, -36.405151, 27.635620
1773750399.783449, 0.143353, -0.092775, -9.814282, -0.001434, 0.002256, 0.004440, 228.895828, -36.197449, 27.681320
1773750399.793449, 0.126144, -0.098013, -9.819668, 0.000629, 0.004082, 0.000619, 229.045181, -36.335342, 27.540207
1773750399.802901, 0.115071, -0.106542, -9.823858, -0.001470, 0.003830, 0.002866, 228.952560, -36.244995, 27.799866
1773750399.813174, 0.123900, -0.111330, -9.820417, -0.001119, 0.000901, 0.003074, 228.972687, -36.181259, 27.762283
1773750399.823324, 0.129586, -0.103250, -9.820716, -0.002682, 0.003450, 0.001303, 229.144684, -36.356277, 27.893875
1773750399.833450, 0.117166, -0.114922, -9.800066, -0.001368, 0.003801, 0.002196, 229.144684, -36.356277, 27.893875
1773750399.843379, 0.115221, -0.105195, -9.817723, 0.000837, 0.007893, 0.002087, 229.033737, -36.294861, 27.754059
1773750399.853459, 0.119411, -0.105195, -9.820566, -0.001020, 0.011773, 0.002616, 229.127365, -36.373535, 27.817108
1773750399.863166, 0.131531, -0.100407, -9.804854, -0.000649, 0.007135, 0.000884, 228.968628, -36.214371, 27.764618
1773750399.873447, 0.132130, -0.109086, -9.803059, -0.002270, 0.009047, 0.003416, 229.000900, -36.244537, 28.194077
