SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1773750874.228266, , , , , , , , , 
1773750874.238271, , , , , , , , , 
1773750874.248232, 0.069282, -0.111330, -9.822212, -0.001020, 0.020468, 0.001098, 228.472290, -64.352463, 18.533844
1773750874.258272, 0.057311, -0.104746, -9.801562, 0.000080, 0.017907, 0.001680, 228.300949, -64.482437, 18.500351
1773750874.268278, 0.074669, -0.097264, -9.819519, -0.001183, 0.016301, 0.002670, 228.410156, -64.408127, 18.444687
1773750874.278348, 0.079009, -0.103998, -9.840618, 0.000058, 0.021801, 0.002250, 228.329361, -64.330643, 18.420227
1773750874.288349, 0.070928, -0.099659, -9.828347, 0.001434, 0.023904, 0.002460, 228.390121, -64.435043, 18.225372
1773750874.298355, 0.056114, -0.100108, -9.828796, 0.000833, 0.028780, 0.005524, 228.248016, -64.140961, 18.479050
1773750874.308355, 0.082151, -0.093823, -9.822960, 0.001086, 0.023318, 0.000974, 228.349243, -64.558365, 18.206711
1773750874.318287, 0.084695, -0.102951, -9.822212, 0.004351, 0.023338, 0.003606, 228.535248, -64.462219, 18.632401
1773750874.328347, 0.082899, -0.106243, -9.811139, 0.000250, 0.008726, 0.002608, 228.312256, -64.355713, 18.415131
1773750874.338291, 0.090531, -0.099509, -9.787646, -0.001466, 0.004597, 0.002006, 228.457962, -64.207321, 18.614838
1773750874.348320, 0.084994, -0.099808, -9.804705, 0.001315, 0.016105, 0.003865, 228.296616, -64.552032, 18.046967
1773750874.358339, 0.068384, -0.097264, -9.824158, 0.000082, 0.017736, 0.002177, 228.252167, -64.283249, 18.450699
1773750874.368353, 0.089184, -0.091129, -9.809792, -0.002484, 0.010897, 0.000213, 228.459518, -64.314728, 18.410080
1773750874.378310, 0.088885, -0.102053, -9.810989, 0.001001, 0.000006, 0.003556, 228.329727, -64.152405, 18.366379
1773750874.388336, 0.072874, -0.096816, -9.801113, -0.000736, -0.003879, 0.002686, 228.191467, -64.302689, 18.296967
1773750874.397393, 0.084096, -0.089483, -9.818471, -0.000472, 0.000358, 0.003959, 228.501892, -64.138687, 18.512024
1773750874.408356, 0.093075, -0.106841, -9.811139, -0.000788, 0.013357, 0.004496, 228.549469, -64.442932, 18.441223
1773750874.417887, 0.083049, -0.113425, -9.824457, -0.001663, 0.019061, 0.002056, 228.513290, -64.486160, 18.241974
1773750874.428289, 0.070928, -0.114772, -9.822960, 0.001010, 0.020858, 0.002379, 228.545349, -64.492188, 18.479294
1773750874.438358, 0.084096, -0.105046, -9.826701, 0.002535, 0.019466, 0.003392, 228.280701, -64.471924, 18.562210
1773750874.448357, 0.078709, -0.096666, -9.814880, -0.000389, 0.023687, 0.002113, 228.453461, -64.412292, 18.687180
