SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1773751101.442983, 0.205901, 0.028132, -9.879673, -0.001308, 0.006607, 0.002744, 185.618317, -7.526596, 29.937134
1773751101.452838, 0.189890, 0.032471, -9.825205, -0.001308, 0.006607, 0.002744, 185.490051, -7.500137, 30.080307
1773751101.462896, 0.196923, 0.018106, -9.800814, 0.014061, 0.009613, 0.001906, 185.584259, -7.571365, 30.065506
1773751101.472640, 0.199766, 0.016909, -9.760262, 0.007054, 0.010276, 0.001112, 185.551346, -7.458252, 30.140594
1773751101.482911, 0.203806, 0.010175, -9.792883, 0.005976, 0.001726, 0.004781, 185.561005, -7.482361, 30.011368
1773751101.492884, 0.198868, 0.002245, -9.810241, 0.005048, -0.012602, 0.000552, 185.622345, -7.538727, 30.110504
1773751101.502880, 0.178667, -0.081104, -9.858275, -0.000884, -0.005956, 0.005506, 185.480011, -7.535019, 30.174072
1773751101.512897, 0.077363, -0.518345, -9.837625, 0.015149, -0.038588, 0.006216, 185.480011, -7.535019, 30.174072
1773751101.522668, -0.158765, -1.927033, -9.590274, -0.075592, -0.046231, -0.006695, 185.543610, -7.278152, 29.770050
1773751101.532414, 0.279972, -0.083348, -9.906309, -0.072960, -0.035445, -0.020179, 185.512253, -7.462067, 29.828049
1773751101.542895, 0.325163, 0.530166, -10.031705, -0.024694, -0.043523, -0.002311, 185.552612, -7.301437, 29.888489
1773751101.553004, 0.176423, 0.166547, -9.994445, 0.030312, -0.055072, 0.020624, 185.521805, -7.298080, 29.811768
1773751101.562950, 0.081702, -0.374244, -9.788993, 0.047802, -0.041349, 0.030436, 185.507324, -7.592270, 29.910782
1773751101.572681, 0.086790, -0.553509, -9.686491, 0.021205, -0.004181, 0.029022, 185.308548, -7.299164, 30.268448
1773751101.582894, 0.145597, -0.500089, -9.755324, -0.004741, 0.005393, 0.044827, 185.480438, -7.290985, 30.022903
1773751101.592882, 0.173280, -0.346561, -9.771635, -0.009781, -0.003549, 0.063607, 185.392181, -7.422241, 30.251160
1773751101.602870, 0.143203, -0.142605, -9.857976, 0.007537, -0.001203, 0.076820, 185.381943, -7.259338, 30.179993
1773751101.612202, 0.054618, -0.153528, -9.786449, 0.008710, -0.000193, 0.066682, 185.296783, -7.407532, 29.930374
1773751101.622757, 0.009278, -0.247501, -9.714174, -0.000423, 0.004669, 0.038867, 185.273926, -7.303375, 29.990463
1773751101.632896, 0.145148, -0.311845, -9.763854, -0.011421, 0.010292, 0.036231, 185.336594, -7.172699, 29.751678
1773751101.642905, 0.198569, -0.225354, -9.835380, -0.012774, 0.014261, 0.036498, 185.408386, -7.255768, 29.943146
1773751101.652897, 0.174178, -0.104447, -9.917232, -0.004281, 0.015508, 0.029736, 185.340363, -7.319122, 29.928360
1773751101.662902, 0.184204, -0.114173, -9.841216, 0.004039, -0.008431, 0.009800, 185.383362, -7.176590, 29.864182
1773751101.672709, 0.173879, -0.141557, -9.780314, 0.002264, 0.001812, -0.012720, 185.404190, -7.375137, 29.744705
1773751101.682906, 0.248249, -0.139313, -9.822811, 0.010148, -0.001503, -0.017813, 185.472412, -7.260651, 29.742401
1773751101.692887, 0.153229, -0.103549, -9.873987, 0.006680, 0.012502, -0.034753, 185.279770, -7.344940, 29.994705
1773751101.702879, 0.138265, -0.032172, -9.921871, 0.004860, 0.038519, -0.048079, 185.294586, -7.235458, 29.977890
1773751101.712893, 0.267103, 0.037559, -9.837775, 0.000682, 0.034314, -0.043792, 185.279083, -7.256943, 29.851730
1773751101.722743, 0.291344, 0.195726, -9.858724, 0.008237, 0.020214, -0.020196, 185.295044, -7.300735, 29.705887
1773751101.732886, 0.230592, 0.225354, -9.834782, 0.013462, 0.005028, -0.010239, 185.402451, -7.377747, 29.953537
1773751101.742901, 0.108637, 0.173430, -9.772982, 0.021297, -0.006664, -0.012771, 185.316330, -7.278488, 30.024399
1773751101.752890, 0.204255, 0.224456, -9.597906, 0.010124, -0.007551, -0.010655, 185.328171, -7.281052, 30.018997
1773751101.762877, 0.268300, 0.216226, -9.516652, -0.011663, -0.008746, 0.004254, 185.359253, -7.299683, 30.023087
1773751101.772725, 0.232238, 0.027384, -9.586383, -0.033620, 0.014089, 0.002031, 185.367859, -7.324020, 29.954529
1773751101.782876, 0.185850, -0.114922, -9.799467, -0.033330, 0.012186, -0.019502, 185.425095, -7.370117, 29.403442
1773751101.792875, 0.292392, -0.037858, -9.965266, -0.024652, 0.011457, -0.025608, 185.250015, -7.132431, 29.658707
1773751101.802831, 0.357335, 0.132878, -10.019135, -0.013097, 0.041938, -0.006394, 185.280533, -7.247864, 29.842255
1773751101.812905, 0.345214, 0.099808, -9.992799, 0.001723, 0.012993, 0.013304, 185.280533, -7.247864, 29.842255
1773751101.822818, 0.326509, 0.036063, -9.903466, 0.011320, -0.008752, 0.028286, 185.350525, -7.278580, 29.662033
1773751101.832629, 0.268300, 0.084695, -9.878626, 0.013869, -0.020484, 0.038824, 185.554657, -7.353287, 29.421585
1773751101.842695, 0.197372, -0.013617, -9.765500, 0.009865, -0.041591, 0.048732, 185.309341, -7.283051, 29.717316
1773751101.852901, 0.182558, -0.057461, -9.829545, 0.014374, -0.036834, 0.042280, 185.369110, -7.382263, 29.826065
1773751101.862353, 0.084096, 0.063297, -9.785401, 0.020192, -0.044958, 0.032627, 185.303726, -7.245834, 29.769897
1773751101.872776, 0.016310, 0.040552, -9.696517, 0.019866, -0.033615, 0.012787, 185.419540, -7.228470, 29.738037
1773751101.882914, 0.061351, -0.096367, -9.617209, -0.001653, -0.007385, -0.012263, 185.309143, -7.329742, 29.878891
1773751101.892875, 0.116119, -0.138415, -9.589526, -0.021661, 0.007970, -0.021698, 185.256989, -7.363800, 29.663651
1773751101.902894, 0.224756, -0.048931, -9.749040, -0.031390, 0.029883, -0.008730, 185.434296, -7.111176, 29.884232
1773751101.912886, 0.153379, -0.005686, -9.797672, -0.034704, 0.029061, 0.001869, 185.388229, -7.198624, 29.659302
1773751101.922805, 0.060454, 0.026935, -9.819070, -0.024818, 0.004024, -0.002246, 185.260590, -7.161652, 29.346375
1773751101.932284, 0.100706, 0.076166, -9.784204, -0.031466, 0.004589, -0.000800, 185.375763, -7.002716, 29.510300
1773751101.942889, 0.092027, 0.113874, -9.777620, -0.026891, -0.019235, 0.006744, 185.200104, -7.045395, 29.513290
1773751101.952893, 0.054169, 0.043096, -9.787047, -0.019401, -0.001670, 0.009181, 185.063324, -7.214539, 29.717026
1773751101.962882, 0.006883, -0.046388, -9.908254, -0.003472, 0.025422, -0.004152, 185.223404, -7.049881, 29.663712
1773751101.972820, 0.039355, -0.123002, -10.179697, 0.025787, 0.124653, -0.027843, 185.151047, -6.999405, 29.506546
1773751101.982883, 0.126743, -0.144849, -9.906907, 0.011381, 0.077320, -0.034602, 185.325043, -7.104446, 29.797394
1773751101.992810, 0.136170, 0.060005, -9.736171, 0.000462, -0.056996, -0.019157, 185.405319, -7.170883, 29.418091
1773751102.002891, 0.040552, 0.069282, -9.851242, -0.014406, -0.058730, -0.004461, 185.153854, -7.161728, 29.362549
1773751102.012886, -0.124498, -0.052373, -9.858724, -0.003856, -0.039468, -0.012706, 185.289948, -7.442368, 29.497131
1773751102.022819, -0.028730, -0.077512, -9.827899, -0.009063, -0.010370, -0.032434, 185.218552, -7.345779, 29.153519
1773751102.031936, -0.028730, -0.077512, -9.827899, -0.011709, -0.018083, -0.030548, 185.331802, -7.069199, 29.513428
1773751102.042872, 0.129287, -0.025887, -9.813683, -0.021375, -0.037177, -0.027718, 185.246841, -7.370636, 29.634460
1773751102.052891, 0.280870, -0.023343, -9.816676, -0.028187, -0.008356, -0.022510, 185.152618, -7.174820, 29.765488
1773751102.062180, 0.280870, -0.023343, -9.816676, -0.010036, 0.003213, -0.009140, 185.238510, -7.169983, 29.756378
1773751102.072837, 0.287454, 0.036960, -9.813234, 0.002860, 0.019666, -0.007238, 185.048233, -7.149216, 29.404739
1773751102.082870, 0.220117, 0.079458, -9.804705, 0.002994, 0.045334, -0.008890, 185.364456, -7.170197, 29.771042
1773751102.092875, 0.206650, 0.079458, -9.846753, 0.012975, 0.033879, -0.003631, 185.364456, -7.170197, 29.771042
1773751102.102412, 0.206650, 0.079458, -9.846753, 0.008297, 0.047085, -0.005550, 185.276993, -7.266022, 29.885284
1773751102.112940, 0.213832, -0.003891, -9.919776, 0.014965, 0.048839, -0.000122, 185.270294, -7.132645, 29.437393
1773751102.122860, 0.241216, 0.093972, -9.812336, 0.023297, 0.032530, 0.003780, 185.253311, -7.354507, 29.121140
1773751102.132866, 0.131531, 0.028730, -9.743204, 0.016467, 0.032924, 0.001691, 185.197388, -7.337311, 29.065414
1773751102.142887, 0.132280, -0.008679, -9.772682, 0.000701, 0.021242, 0.001087, 185.178909, -7.116714, 29.400574
1773751102.152954, 0.136021, -0.038457, -9.747094, -0.008289, 0.020268, -0.016793, 185.332260, -7.245636, 29.278061
1773751102.162886, 0.136021, -0.038457, -9.747094, -0.020854, 0.005771, -0.035214, 185.187622, -7.013199, 29.475204
1773751102.172883, 0.086640, -0.062399, -9.742605, -0.019381, 0.006022, -0.041511, 185.278610, -6.894150, 29.366043
1773751102.182885, 0.118962, -0.022446, -9.794679, -0.016176, 0.018389, -0.034864, 185.282471, -7.013504, 29.391068
1773751102.192872, 0.107290, 0.086042, -9.797971, -0.006369, 0.023072, -0.021944, 185.250320, -7.137009, 29.043884
1773751102.202890, 0.133327, 0.172682, -9.778368, 0.006152, 0.024966, -0.016469, 185.221436, -7.066040, 29.502213
1773751102.212883, 0.130484, 0.083049, -9.760113, 0.009200, 0.032709, -0.009177, 185.147598, -7.048767, 29.295227
1773751102.222902, 0.238822, -0.025738, -9.787197, 0.013543, 0.042322, -0.002982, 185.207428, -7.152618, 29.367233
1773751102.232257, 0.308403, -0.066289, -9.847202, 0.013669, 0.081092, 0.004031, 185.365463, -7.122864, 29.378357
1773751102.242887, 0.333393, -0.114323, -9.999084, -0.007468, 0.019307, 0.027147, 185.137039, -7.075363, 28.863235
1773751102.252882, 0.339827, -0.146794, -9.801712, -0.029177, -0.040549, 0.048856, 185.350632, -7.155991, 29.089401
1773751102.262907, 0.311994, -0.090082, -9.767445, -0.042891, -0.025968, 0.062944, 185.332489, -7.031296, 29.367859
1773751102.272885, 0.235829, 0.010175, -9.786449, -0.034932, -0.008990, 0.066842, 185.338120, -6.831039, 29.306381
1773751102.282881, 0.221314, 0.129137, -9.819818, -0.018927, -0.006542, 0.060488, 185.256363, -7.081512, 29.118759
1773751102.292864, 0.128688, 0.144251, -9.839570, -0.015928, -0.000319, 0.060464, 185.191391, -7.013565, 29.100388
1773751102.302567, 0.137218, 0.149937, -9.761310, -0.012393, 0.023813, 0.052101, 185.104401, -6.908447, 29.095352
1773751102.312889, 0.092925, 0.193182, -9.767295, 0.000196, 0.058777, 0.036971, 185.031830, -6.830963, 29.039352
1773751102.322889, 0.016161, 0.181959, -9.802610, 0.002762, 0.061271, 0.025283, 185.120987, -6.776932, 28.960526
1773751102.332863, 0.055964, 0.167594, -9.811738, 0.001033, 0.029283, 0.003216, 184.831680, -6.472351, 29.027969
1773751102.342880, 0.047734, 0.093524, -9.832388, -0.007672, 0.015977, -0.015434, 185.006989, -6.623230, 28.827454
1773751102.352892, 0.092177, 0.004040, -9.860071, -0.021978, 0.014147, -0.006829, 184.899948, -6.614288, 28.745758
1773751102.362708, 0.316932, -0.037110, -9.871742, -0.024906, -0.009206, 0.004740, 184.829956, -6.752151, 29.093170
1773751102.372908, 0.426168, 0.027683, -9.925762, -0.018988, -0.005578, 0.014310, 184.955017, -6.459839, 28.814423
1773751102.382866, 0.403423, 0.035763, -9.885060, -0.007740, -0.013147, 0.010027, 185.190628, -6.656998, 28.855820
1773751102.392884, 0.224307, 0.049680, -9.835829, 0.008399, -0.023747, -0.000755, 185.190628, -6.656998, 28.855820
