SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1773750930.772233, -0.032621, -0.093823, -9.826402, -0.000540, 0.006610, 0.005186, 228.713043, -38.662216, 25.848526
1773750930.782220, -0.033369, -0.095918, -9.830442, -0.001802, 0.010472, 0.002345, 228.681519, -38.624390, 25.576874
1773750930.791928, -0.035763, -0.095319, -9.808745, -0.003395, 0.008342, 0.002004, 228.766922, -38.643982, 25.697784
1773750930.801262, -0.015712, -0.092775, -9.794829, -0.002167, 0.001826, 0.002144, 228.599075, -38.639862, 25.449844
1773750930.811699, -0.052523, -0.095319, -9.818322, 0.000632, 0.008953, -0.000598, 228.814621, -38.825226, 25.246841
1773750930.822212, -0.041001, -0.192434, -9.821165, -0.001441, 0.007661, -0.001923, 228.718323, -38.749069, 25.673874
1773750930.832224, -0.054169, -0.198270, -9.809792, -0.002988, 0.006637, -0.003051, 228.585068, -38.713242, 25.493423
1773750930.841903, -0.058658, -0.316633, -9.811139, -0.005016, 0.005521, -0.007105, 228.716949, -38.500412, 25.667587
1773750930.852214, 0.021099, -0.410007, -9.786000, -0.005513, 0.001192, -0.005960, 228.580750, -38.693878, 25.652496
1773750930.861568, -0.011971, 0.001347, -9.811139, -0.005658, 0.003225, -0.010842, 228.649658, -38.657501, 25.770721
1773750930.872224, -0.061950, -0.093524, -9.807398, -0.003684, 0.001525, -0.014620, 228.638611, -38.487930, 25.493042
1773750930.882219, -0.049231, -0.312892, -9.825205, -0.002462, 0.006276, -0.022269, 228.605591, -38.553955, 25.416489
1773750930.891891, -0.046986, -0.243311, -9.785102, -0.001230, 0.011809, -0.034524, 228.497772, -38.522110, 25.316696
1773750930.902226, -0.017957, -0.117316, -9.838224, -0.000919, 0.012501, -0.037085, 228.436279, -38.243851, 25.693588
1773750930.911593, 0.001047, -0.079757, -9.816975, -0.001297, 0.012225, -0.041279, 228.694366, -38.429718, 25.590973
1773750930.922213, -0.012121, -0.109984, -9.804106, 0.002546, 0.005306, -0.040622, 228.550491, -38.271271, 25.694870
1773750930.932254, -0.033519, -0.124199, -9.798869, 0.000331, 0.003771, -0.034819, 228.640366, -38.455185, 26.101120
1773750930.941936, -0.025887, -0.112228, -9.823409, -0.002025, 0.008707, -0.027804, 228.516296, -38.282623, 25.665771
1773750930.952213, -0.006285, -0.102951, -9.815329, 0.003722, 0.005079, -0.017838, 228.556625, -38.388382, 25.855209
1773750930.961561, 0.001347, -0.149039, -9.819818, -0.001879, 0.006242, -0.014798, 228.556625, -38.388382, 25.855209
1773750930.972217, 0.034117, -0.240617, -9.811738, -0.001955, 0.008941, -0.005470, 228.587143, -38.408676, 25.646408
1773750930.982214, 0.054618, -0.246603, -9.810092, -0.003610, 0.012454, 0.003102, 228.587143, -38.408676, 25.646408
1773750930.991890, 0.034566, -0.262315, -9.811887, -0.001368, 0.015123, 0.006607, 228.453995, -38.357178, 25.615601
1773750931.002273, 0.004788, -0.246603, -9.789142, -0.003059, 0.006105, 0.002342, 228.516968, -38.256943, 26.211472
1773750931.011564, -0.057910, -0.236278, -9.806051, -0.002784, 0.006028, -0.002626, 228.460464, -38.384613, 25.720261
1773750931.022210, -0.100706, -0.324714, -9.839570, -0.002555, 0.013910, -0.012630, 228.348068, -38.283966, 25.831680
1773750931.032241, -0.093374, -0.255431, -9.814132, -0.003222, 0.011870, -0.025071, 228.521378, -38.234726, 25.955048
1773750931.041905, -0.084246, -0.255581, -9.819519, 0.001354, 0.011840, -0.022599, 228.325180, -38.166794, 26.166687
1773750931.052216, -0.105943, -0.249745, -9.805902, 0.003551, 0.016919, -0.017822, 228.478485, -38.225510, 26.175507
1773750931.061566, -0.100257, -0.198270, -9.807548, 0.002127, 0.004286, -0.010955, 228.304092, -38.261581, 25.833557
1773750931.072236, -0.024391, -0.190040, -9.802311, -0.001251, 0.005937, 0.002800, 228.296646, -38.128799, 26.167023
1773750931.082220, 0.011073, -0.230442, -9.813384, 0.000141, 0.012735, 0.011792, 228.220459, -38.197906, 26.111526
1773750931.092213, 0.028730, -0.239869, -9.807099, -0.001757, 0.003859, 0.027485, 228.146103, -38.030930, 26.429581
1773750931.102227, 0.113126, -0.283563, -9.800066, -0.001849, 0.004897, 0.041048, 228.195953, -38.234665, 26.130859
1773750931.112230, 0.091578, -0.324414, -9.827300, -0.003631, -0.000497, 0.042076, 227.932129, -38.028824, 26.090286
1773750931.122210, 0.024541, -0.371700, -9.805902, 0.000513, 0.000397, 0.045494, 227.965668, -37.847809, 26.437424
1773750931.132227, 0.005537, -0.298377, -9.825654, 0.000149, 0.005641, 0.049511, 227.787582, -37.957504, 26.512436
1773750931.142225, -0.002843, -0.317980, -9.793332, -0.000391, 0.003248, 0.046056, 227.559280, -37.812119, 26.531342
1773750931.151651, -0.021099, -0.258125, -9.803508, -0.003992, 0.002586, 0.028978, 227.602615, -37.546143, 26.538406
1773750931.162350, -0.059406, -0.240318, -9.807697, -0.003302, 0.012044, 0.013543, 227.632019, -37.602615, 26.304031
1773750931.172250, -0.083049, -0.232686, -9.819818, -0.001412, 0.012128, 0.007437, 227.484772, -37.696625, 26.371033
1773750931.182211, -0.068684, -0.261417, -9.801263, -0.002683, 0.012706, 0.014612, 227.461777, -37.638641, 26.452896
1773750931.192199, -0.041749, -0.252888, -9.794829, 0.002337, 0.006891, 0.028245, 227.400513, -37.624268, 26.401306
1773750931.202226, 0.014664, -0.268300, -9.810840, -0.001515, 0.010553, 0.037223, 227.288895, -37.677246, 26.469879
1773750931.212264, 0.047585, -0.225055, -9.814132, 0.001596, 0.006082, 0.045978, 227.148788, -37.510254, 26.516418
1773750931.222158, 0.024391, -0.207847, -9.820117, -0.001998, 0.004728, 0.048091, 227.014435, -37.465195, 26.483810
1773750931.232197, -0.048034, -0.207248, -9.829245, -0.004559, -0.003054, 0.037169, 226.954178, -37.518524, 26.814789
1773750931.242221, -0.051924, -0.193631, -9.810989, -0.000797, -0.000836, 0.030857, 227.061325, -37.736877, 26.843613
1773750931.252211, -0.051176, -0.199766, -9.829395, 0.000052, 0.009372, 0.023398, 226.948975, -37.571671, 27.009735
1773750931.262219, -0.045789, -0.205452, -9.800066, 0.002179, 0.014891, 0.019820, 226.933884, -37.456528, 26.839264
1773750931.272254, -0.026486, -0.137218, -9.816676, 0.001714, 0.015717, 0.027790, 226.757568, -37.402069, 27.196411
1773750931.282214, -0.047136, -0.123152, -9.795876, -0.001942, 0.002035, 0.029753, 226.757568, -37.402069, 27.196411
1773750931.292202, -0.115969, -0.078859, -9.798570, -0.001944, -0.003061, 0.029925, 226.580948, -37.242203, 27.212677
1773750931.302225, -0.083797, -0.041150, -9.827899, -0.002857, -0.000218, 0.032762, 226.505875, -37.030670, 27.015625
1773750931.311931, -0.106392, -0.119261, -9.808446, -0.004665, -0.003665, 0.027162, 226.332031, -37.172379, 27.130035
1773750931.322212, -0.092476, -0.135871, -9.823559, -0.002379, 0.005538, 0.026998, 226.078842, -36.827911, 26.981598
1773750931.332211, -0.039355, -0.143502, -9.811738, -0.001461, 0.014649, 0.030153, 226.368729, -36.845184, 27.380524
1773750931.342202, -0.034267, -0.147094, -9.815179, 0.000538, 0.003727, 0.036069, 226.234573, -37.097214, 27.188705
1773750931.352212, 0.019752, -0.137966, -9.801113, 0.001972, -0.001879, 0.050443, 226.167450, -36.942993, 27.510513
1773750931.362227, 0.034566, -0.093374, -9.806500, -0.004917, -0.006345, 0.055727, 225.958099, -36.746536, 27.342651
1773750931.372228, 0.034566, -0.093374, -9.806500, -0.004917, -0.006345, 0.055727, 226.030884, -37.075623, 27.317566
1773750931.382211, 0.040701, -0.086191, -9.809194, -0.003175, -0.008361, 0.050579, 225.925079, -37.124634, 27.456665
1773750931.391380, 0.014066, -0.067187, -9.810840, -0.001996, -0.004692, 0.038638, 225.855804, -36.667191, 27.441040
1773750931.402230, 0.013617, -0.051625, -9.818621, -0.001029, -0.000290, 0.034866, 225.765503, -36.961807, 27.302429
1773750931.412238, -0.010924, -0.119411, -9.810541, -0.001876, 0.008631, 0.030236, 225.552689, -36.778778, 27.654190
1773750931.421828, -0.082301, -0.113874, -9.817574, -0.001003, 0.009066, 0.029175, 225.598267, -36.557037, 27.406494
1773750931.432295, -0.142156, -0.097863, -9.814431, -0.000203, 0.010694, 0.032091, 225.411407, -36.577408, 27.349335
1773750931.442280, -0.157119, -0.086491, -9.802759, -0.001376, 0.007761, 0.031030, 225.411972, -36.514252, 27.762192
1773750931.452071, -0.152630, -0.090680, -9.798719, -0.001583, 0.001924, 0.029461, 225.391815, -36.379562, 27.845276
1773750931.462415, -0.012869, -0.087388, -9.806650, -0.005076, -0.003224, 0.031772, 225.446503, -36.533752, 27.948517
1773750931.472233, 0.043694, -0.056862, -9.792883, -0.004297, -0.004826, 0.031043, 225.209885, -36.396973, 27.635132
1773750931.482209, 0.041899, -0.026635, -9.836428, -0.005624, -0.006292, 0.027953, 225.042862, -36.416077, 27.630692
1773750931.492078, 0.079009, -0.038307, -9.821763, -0.004464, -0.001295, 0.030436, 224.971588, -36.237152, 27.951035
1773750931.502215, 0.071676, -0.047285, -9.818172, -0.002280, 0.008195, 0.042270, 224.983124, -36.252487, 27.916885
1773750931.512238, -0.029628, 0.007183, -9.814730, -0.002540, 0.003997, 0.046279, 224.785599, -36.042542, 27.754745
1773750931.522210, -0.092177, -0.028730, -9.829844, 0.000204, 0.003253, 0.044412, 224.809662, -35.879227, 27.779694
1773750931.532227, -0.091578, -0.076166, -9.799916, -0.000108, 0.003818, 0.041519, 224.873322, -35.986023, 27.937454
1773750931.541842, -0.089334, -0.042946, -9.807249, -0.000374, 0.000218, 0.044166, 224.872696, -35.974823, 28.061371
1773750931.552210, -0.097713, -0.060903, -9.828946, 0.002149, 0.007413, 0.041334, 224.462845, -35.691452, 28.192383
1773750931.562232, -0.113575, -0.104297, -9.829545, 0.001329, 0.009640, 0.024896, 224.528305, -36.083344, 27.687851
1773750931.572229, -0.109834, -0.123152, -9.804854, -0.000592, 0.010118, 0.014515, 224.528305, -36.083344, 27.687851
1773750931.582235, -0.044891, -0.119560, -9.789741, -0.000179, 0.004158, 0.015075, 224.468109, -35.953842, 28.266968
1773750931.592211, -0.000449, -0.099210, -9.819968, -0.005320, -0.001060, 0.017674, 224.487808, -35.775116, 28.131851
1773750931.601313, 0.021398, -0.072724, -9.798270, -0.002113, 0.005628, 0.022506, 224.443909, -35.561661, 28.050079
1773750931.612230, -0.007482, -0.038307, -9.822811, -0.006285, 0.003552, 0.022043, 224.491501, -35.744263, 28.110306
1773750931.622216, -0.075417, -0.092626, -9.803957, -0.003037, 0.006157, 0.026090, 224.310913, -35.696075, 28.325745
1773750931.632239, -0.081702, -0.088885, -9.824607, 0.000238, 0.010428, 0.023303, 224.270905, -35.381760, 28.204651
1773750931.642222, -0.127491, -0.097863, -9.810241, -0.002611, 0.007369, 0.018497, 224.030151, -35.467590, 28.186752
1773750931.651236, -0.134375, -0.099659, -9.832986, -0.002208, 0.004715, 0.011166, 224.230438, -35.400650, 28.212646
1773750931.662358, -0.119261, -0.097115, -9.805004, -0.001900, -0.004534, 0.003379, 223.980667, -35.201660, 28.416000
1773750931.671251, -0.092925, -0.079757, -9.807398, -0.004443, -0.005317, -0.000581, 223.822205, -35.286026, 28.302200
1773750931.682212, -0.068684, -0.116119, -9.807997, -0.007359, -0.009584, -0.001183, 224.110352, -35.190659, 28.330536
1773750931.692224, -0.051924, -0.097863, -9.798420, -0.003174, -0.004392, -0.001726, 223.910400, -35.073822, 28.484985
1773750931.701247, -0.027533, -0.077512, -9.831340, -0.005373, -0.000733, -0.004207, 223.847290, -35.014221, 28.364029
1773750931.712232, -0.003292, -0.097564, -9.799467, -0.002418, 0.004229, -0.011494, 223.882950, -34.987701, 28.458450
1773750931.722212, 0.023343, -0.099060, -9.816077, -0.002186, 0.012169, -0.006803, 223.870743, -35.079926, 28.414612
1773750931.732222, 0.065092, -0.057461, -9.820267, 0.002403, 0.017728, 0.009082, 223.707657, -34.805847, 28.327011
1773750931.741764, 0.057012, -0.043096, -9.817574, -0.001314, 0.018887, 0.019296, 223.951340, -34.947357, 28.810242
1773750931.751256, -0.018854, 0.004489, -9.812935, -0.000810, 0.009752, 0.026329, 223.964706, -34.842224, 28.674973
1773750931.762378, -0.048782, 0.053720, -9.819968, -0.000001, 0.012689, 0.026496, 223.970963, -34.791580, 28.625214
1773750931.772306, -0.105345, 0.012270, -9.825055, 0.004062, 0.014265, 0.018527, 223.751587, -34.751053, 28.670441
1773750931.782212, -0.116717, -0.091429, -9.819220, -0.000290, 0.007309, 0.011199, 223.730499, -34.728119, 28.664627
1773750931.792222, -0.036811, -0.111031, -9.801862, -0.000459, -0.002192, 0.010857, 223.787857, -34.607468, 28.824203
1773750931.801274, 0.000299, -0.110283, -9.827899, -0.002837, 0.005874, 0.010861, 223.710541, -34.769989, 28.488205
1773750931.812299, 0.035763, -0.101754, -9.798570, -0.002692, 0.008644, 0.004650, 223.725510, -34.717331, 28.913879
1773750931.821963, 0.045191, -0.119112, -9.805603, -0.002809, 0.007197, -0.003986, 223.802750, -34.466690, 29.073242
1773750931.832223, 0.058209, -0.070330, -9.825504, -0.002461, 0.010967, -0.000188, 223.752365, -34.599594, 28.966980
1773750931.842237, 0.056264, -0.053121, -9.817125, 0.000356, 0.011009, 0.008772, 223.541550, -34.706284, 28.718689
1773750931.851276, 0.038307, -0.072125, -9.804405, -0.000982, 0.005163, 0.010698, 223.541550, -34.706284, 28.718689
1773750931.861540, -0.053121, -0.057012, -9.815928, -0.000752, 0.013718, 0.018615, 223.766022, -34.417877, 28.980087
1773750931.872229, -0.183755, -0.013467, -9.827749, 0.003455, 0.018950, 0.011084, 223.504715, -34.294159, 29.013229
1773750931.882276, -0.341772, -0.057162, -9.804106, 0.002452, 0.021927, 0.000149, 223.609314, -34.272064, 28.928650
1773750931.892084, -0.306757, -0.079906, -9.800814, 0.002531, 0.020074, -0.005714, 223.490509, -34.007385, 29.086823
1773750931.901308, -0.140061, -0.110133, -9.814431, -0.002999, 0.009260, 0.002307, 223.498123, -33.984039, 28.927658
1773750931.911546, 0.011522, -0.079158, -9.787347, -0.004515, -0.005430, 0.001663, 223.335434, -34.048431, 28.948608
1773750931.921850, 0.030975, -0.025289, -9.786898, -0.006351, 0.006231, -0.013569, 223.413544, -33.953079, 28.851913
1773750931.932226, 0.053570, -0.015562, -9.821015, -0.007356, -0.002259, -0.025017, 223.382446, -33.691284, 29.087402
1773750931.942216, 0.060753, -0.068983, -9.793332, -0.007005, -0.004921, -0.024592, 223.362762, -33.879013, 29.038147
1773750931.951304, -0.004190, -0.088735, -9.816975, -0.003809, -0.000537, -0.022968, 223.478775, -33.681427, 29.196350
1773750931.961554, -0.071976, -0.083498, -9.832837, -0.000723, 0.011555, -0.026264, 223.463623, -33.607819, 29.349945
1773750931.972227, -0.097414, -0.045041, -9.831340, 0.005820, 0.011849, -0.017115, 223.543304, -33.704773, 28.774017
1773750931.982211, -0.095768, 0.007033, -9.812785, 0.001255, 0.011002, -0.009090, 223.463303, -33.558823, 29.072433
1773750931.992119, -0.017807, 0.018256, -9.798570, -0.005774, 0.009813, -0.005065, 223.487747, -33.554474, 29.073669
1773750932.001420, -0.015113, 0.021398, -9.797522, -0.002877, 0.012280, -0.007693, 223.646118, -33.639572, 29.112289
1773750932.011536, -0.072874, 0.053870, -9.846454, -0.000822, 0.015606, -0.018460, 223.612137, -33.474014, 29.415207
1773750932.022272, -0.141108, -0.023792, -9.835979, -0.001332, 0.017579, -0.019838, 223.392197, -33.180527, 29.459503
1773750932.032229, -0.147842, -0.017059, -9.793482, -0.000738, -0.000095, -0.020991, 223.486023, -33.294418, 29.524399
1773750932.042133, -0.126893, 0.044143, -9.821913, -0.002043, -0.002901, -0.023048, 223.608627, -33.268173, 29.238922
1773750932.051323, -0.026037, 0.043694, -9.811887, -0.003276, -0.018362, -0.022633, 223.515686, -33.081741, 29.271500
1773750932.061635, 0.057461, 0.045340, -9.824457, -0.006735, -0.014744, -0.019934, 223.539566, -33.236145, 29.317886
1773750932.072231, 0.068235, 0.020949, -9.817723, -0.000689, -0.011249, -0.024106, 223.549347, -33.236145, 29.014633
1773750932.082213, -0.000898, 0.008679, -9.825953, -0.003513, -0.009877, -0.030329, 223.511841, -33.157837, 29.547668
1773750932.092119, -0.004788, 0.023343, -9.811289, -0.002691, -0.002540, -0.021538, 223.473129, -33.042953, 29.516815
1773750932.101406, -0.021398, 0.055216, -9.796325, -0.000701, 0.001260, -0.011267, 223.648041, -32.977219, 29.045776
1773750932.111536, -0.035614, 0.069881, -9.807548, 0.000093, 0.014772, -0.002877, 223.630585, -33.197052, 29.370346
1773750932.122212, -0.011073, 0.043844, -9.821464, -0.002715, 0.016826, 0.001734, 223.666229, -33.080383, 29.334747
1773750932.132231, 0.007632, -0.012570, -9.804705, -0.001741, 0.008837, 0.003580, 223.606232, -33.065033, 29.062057
1773750932.142134, -0.018555, 0.017358, -9.815179, -0.001184, 0.009465, -0.001178, 223.592926, -33.168198, 29.102539
1773750932.151347, 0.028132, 0.042347, -9.831939, -0.001228, 0.010923, 0.000967, 223.592926, -33.168198, 29.102539
1773750932.161551, 0.021249, 0.064494, -9.800216, 0.000216, 0.004405, 0.000208, 223.817322, -32.940521, 29.139145
