SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1773751169.163706, , , , , , , , , 
1773751169.173559, , , , , , , , , 
1773751169.183583, 0.189890, 0.198270, -9.873239, -0.005451, 0.004016, -0.001421, 183.790375, -8.590576, 31.139465
1773751169.193462, 0.195427, 0.177321, -9.885808, -0.012053, -0.027503, 0.004504, 183.755951, -8.807556, 31.508698
1773751169.203607, 0.184054, 0.197971, -9.996690, -0.004861, -0.028293, 0.003475, 183.768143, -8.481506, 30.927338
1773751169.213566, 0.174777, 0.176423, -9.722554, -0.003973, 0.002051, 0.004956, 183.768570, -8.538849, 31.317245
1773751169.222727, 0.174777, 0.184204, -9.674969, 0.000251, -0.013122, 0.004227, 183.697754, -8.551819, 31.590714
1773751169.232871, 0.170138, 0.174477, -9.691579, 0.007348, -0.000369, 0.004651, 183.632339, -8.597626, 31.289825
1773751169.243460, 0.156671, 0.179715, -9.597756, -0.006334, -0.003357, 0.006152, 183.724136, -8.809616, 31.247513
1773751169.253680, 0.165649, 0.185551, -9.665991, -0.018592, -0.016753, 0.001485, 183.753311, -8.791946, 31.121124
1773751169.263651, 0.190040, 0.190040, -9.842114, -0.023252, -0.012645, 0.004267, 183.577667, -8.458618, 31.484940
1773751169.273564, 0.163255, 0.177021, -9.900622, -0.013024, -0.016277, 0.003898, 183.728836, -8.549438, 31.108505
1773751169.283570, 0.169839, 0.201113, -9.911097, -0.003804, -0.001188, 0.001188, 183.777557, -8.772461, 31.175629
1773751169.293445, 0.144700, 0.202759, -9.855282, 0.004564, 0.028453, 0.004158, 183.736771, -8.565353, 31.191544
1773751169.303582, 0.149338, 0.194978, -9.828048, 0.000158, 0.035664, 0.003303, 183.495026, -8.520554, 31.050995
1773751169.313562, 0.176123, 0.182857, -9.854983, 0.013056, 0.020901, 0.003857, 183.729736, -8.570511, 31.197845
1773751169.323558, 0.170437, 0.192284, -9.792285, 0.006093, 0.036415, 0.003529, 183.584564, -8.382553, 31.244232
1773751169.333548, 0.169839, 0.186448, -9.727492, 0.001683, 0.029874, 0.001965, 183.584564, -8.382553, 31.244232
1773751169.343506, 0.178218, 0.182408, -9.802311, 0.004501, 0.022700, 0.002938, 183.549637, -8.469131, 31.238785
1773751169.353578, 0.192284, 0.189142, -9.845406, -0.003457, 0.020535, 0.003417, 183.623734, -8.573547, 31.580780
1773751169.363562, 0.190339, 0.189591, -9.851990, -0.011275, 0.007593, 0.004426, 183.798981, -8.591339, 31.325363
1773751169.373572, 0.204704, 0.196175, -9.872939, -0.011671, 0.004587, 0.003658, 183.737625, -8.566757, 31.003723
1773751169.383564, 0.178967, 0.196624, -9.873089, -0.025667, 0.027380, 0.004188, 183.785934, -8.596939, 31.074265
1773751169.393456, 0.176123, 0.206201, -9.808895, -0.010023, 0.026811, 0.007261, 183.791138, -8.524765, 31.172897
1773751169.403215, 0.183156, 0.215927, -9.843012, -0.005036, 0.030208, 0.006996, 183.719284, -8.466965, 31.198730
1773751169.413578, 0.176872, 0.190788, -9.803508, 0.000919, 0.046367, 0.005729, 183.678589, -8.629440, 31.013580
1773751169.423557, 0.180463, 0.188394, -9.827749, 0.002759, 0.069369, 0.003923, 183.654800, -8.558350, 31.226929
