SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1773750785.735589, , , , , , , , , 
1773750785.745634, , , , , , , , , 
1773750785.755714, 0.023792, -0.168043, -9.824008, -0.000943, 0.015737, 0.004736, 195.898483, -25.964844, 33.702927
1773750785.765170, 0.031274, -0.168791, -9.792285, -0.002417, -0.005353, 0.002486, 196.010559, -26.023911, 33.424286
1773750785.774705, 0.021847, -0.179565, -9.820566, 0.000448, 0.009539, 0.004805, 195.968399, -25.879395, 33.879776
1773750785.785635, 0.045191, -0.178817, -9.824307, -0.002194, 0.008798, 0.003641, 195.919785, -25.963196, 33.751923
1773750785.795698, 0.031125, -0.185251, -9.806949, -0.001084, 0.006632, 0.004380, 196.048920, -25.806519, 33.868317
1773750785.805645, 0.022446, -0.174926, -9.803358, -0.002456, 0.014150, 0.002111, 196.090073, -25.941895, 33.775757
1773750785.815205, 0.025738, -0.178069, -9.804555, -0.000130, 0.015899, 0.001675, 196.007950, -26.017487, 33.491806
1773750785.825664, 0.018256, -0.181510, -9.802759, -0.002075, 0.015236, 0.002697, 196.008255, -25.800339, 33.580612
1773750785.835534, 0.040701, -0.180463, -9.796475, 0.001497, 0.001399, 0.003430, 195.957352, -25.779160, 33.807053
1773750785.845667, 0.051475, -0.176423, -9.790489, -0.003033, -0.006044, 0.000791, 195.951157, -25.974213, 33.728821
1773750785.855723, 0.030077, -0.185102, -9.814730, -0.001094, 0.005323, 0.001816, 196.067825, -25.825256, 33.820404
1773750785.865203, 0.019303, -0.181510, -9.798869, -0.001815, 0.007895, 0.000601, 195.914795, -25.925827, 33.479935
1773750785.875649, 0.038008, -0.180912, -9.818172, -0.001890, -0.001120, 0.000902, 195.982605, -26.016235, 33.802719
1773750785.885559, 0.035614, -0.180912, -9.804405, 0.000984, 0.007725, 0.003676, 195.993118, -25.986526, 33.575912
1773750785.895638, 0.014664, -0.185102, -9.819668, -0.001277, 0.001350, 0.003407, 196.088608, -25.915527, 33.878723
1773750785.905650, 0.027234, -0.177021, -9.820267, -0.001428, 0.006853, 0.001584, 195.970245, -25.751144, 33.602966
1773750785.915273, 0.023343, -0.165649, -9.822362, -0.001305, 0.016594, 0.002655, 195.970245, -25.751144, 33.602966
1773750785.924996, 0.034267, -0.183605, -9.804106, -0.000945, 0.020686, 0.003592, 195.996307, -25.838852, 33.817627
1773750785.935544, 0.036811, -0.172981, -9.801113, -0.001276, 0.015180, 0.004804, 196.219376, -25.963257, 33.568405
1773750785.945647, 0.046837, -0.179565, -9.809493, -0.000695, 0.015177, 0.002997, 196.155579, -25.863403, 33.736008
1773750785.955658, 0.020800, -0.175525, -9.821763, -0.000488, 0.035511, 0.002684, 196.135818, -26.034958, 33.517441
1773750785.965215, 0.023493, -0.171784, -9.819519, 0.000027, 0.022644, 0.001657, 196.042969, -25.887970, 33.746765
1773750785.975661, 0.067038, -0.180164, -9.797073, -0.002458, 0.002664, 0.003070, 196.065216, -25.762924, 33.754166
1773750785.985573, 0.029479, -0.175375, -9.807997, -0.000042, 0.007022, 0.000766, 196.244537, -26.009964, 33.587601
1773750785.995710, 0.035913, -0.169689, -9.822960, 0.000867, 0.007143, 0.003344, 196.134949, -26.139664, 33.750687
1773750786.005506, 0.037110, -0.177470, -9.812486, 0.001810, 0.004867, 0.002642, 196.093506, -25.944702, 33.497452
1773750786.015268, 0.041300, -0.181660, -9.795577, -0.001467, 0.011758, 0.002721, 196.148285, -25.913284, 33.537186
1773750786.025652, 0.031125, -0.155025, -9.797971, 0.000942, -0.001017, 0.002623, 196.087250, -25.884644, 33.685867
1773750786.035576, 0.051026, -0.189890, -9.771036, -0.002498, -0.028903, 0.006883, 195.892166, -25.910339, 33.804428
1773750786.045654, 0.086042, -1.124078, -9.772533, -0.007400, -0.074879, -0.006192, 195.944000, -25.833984, 33.727188
1773750786.055654, 0.080505, -1.212663, -9.731981, -0.002965, -0.060215, -0.032711, 196.087463, -26.146317, 33.840988
1773750786.065263, -0.042198, 0.251690, -9.868450, -0.002669, -0.016337, -0.025169, 196.024872, -26.020493, 33.493530
1773750786.075659, -0.140061, -0.040103, -9.817574, 0.000505, -0.021938, -0.017047, 196.177414, -26.062500, 33.768494
1773750786.085564, -0.085144, -0.572513, -9.773430, -0.002058, -0.042448, -0.020041, 196.140396, -26.231827, 33.711578
1773750786.095711, -0.029479, -0.537349, -9.815030, -0.000577, -0.003501, -0.010844, 196.185257, -25.960968, 33.735016
